video_id,title,published_at,duration,views,likes,comments,tags,channel
AFDFIIHaFLA,St John (My Football Team) VS. Hashtag Utd,2017-08-20T17:20:14Z,PT15M33S,5267971,96716,3502,"youtuber,football,beef,spencer fc,chrismd,sidemen,diss,hashtag,sunday,league",ChrisMD
J1aVesWvoaE,Sidemen Beef - LET’S BE HAVIN’ YOU (DISS TRACK) Official Video,2017-08-16T13:24:29Z,PT6M6S,14851513,405446,21851,"sidemen,diss,track,w2s,ksi,ricegum,callux,chrismd",ChrisMD
HKKEr1-Dlho,Sunday League Stereotypes | Football Challenges ft. CALLUX,2017-08-07T20:49:38Z,PT11M2S,2525329,66244,3176,"sunday,league,football,challenge,callux,chrismd,funny,cliches",ChrisMD
2THGuBpwQco,Scoring a SCREAMER at The Fortress,2017-07-25T18:36:54Z,PT18M24S,3294120,81110,6163,"scoring,football,chrismd,goal,skills,kelly,screamer,fortress",ChrisMD
G2UslzNo8Os,FIVE 98+ Players In The GREATEST Pack Opening Of 2017,2017-07-13T22:54:49Z,PT21M35S,6217213,109016,8626,"fifa,pack,opening,tots,chrismd,best,ever,messi,ronaldo,in a pack",ChrisMD
giQ_EUUEv1g,The Toughest Challenge In The WORLD,2017-06-30T20:59:55Z,PT21M50S,24716684,282074,14585,"tough mudder,chrismd,bellerin,max whitlock,toughest,challenge,in the world,ever,world,best",ChrisMD
uQyKlryCZ3c,FEAR PONG Vs. HARRY,2017-06-30T15:11:41Z,PT15M35S,3617922,80551,2713,"fear,pong,harry,wroetoshaw,chrismd,simon,tobi,fifa 17,pes 2017,game,forfeits,maggot,drinking",ChrisMD
oxC21xqARN0,THE MOST TOTS YOU'VE EVER SEEN IN 1 PACK? - FIFA 17,2017-06-22T20:15:20Z,PT14M17S,5115722,97354,5365,"fifa 17,pack,opening,tots,team of the season,messi,ronaldo",ChrisMD
sOxTX8GP8CY,An EPIC FA Cup Final,2017-05-30T19:15:13Z,PT8M10S,2136253,64678,4946,"fa,cup,final,arsenal,chelsea,chrismd",ChrisMD
bnp1vCAd8zg,"SCORING MY DREAM GOAL IN FRONT OF 30,000",2017-05-26T18:01:23Z,PT21M44S,21331817,316965,11896,"best,moment,of,my,life,football,match,sidemen,charity,chrismd,goal,amazing",ChrisMD
